Institution,State,Website URL,Buyer/Seller for Private Institutions ,Percentage of Institutional Aid Without Respect to Financial Need (2022),"Percentage of Students That Chose to Enroll	
(2021)","Acceptance Rate	
(2021)",Applications (2021),Need-Based Institutional Scholarship (2022),Non-Need-Based Institutional Scholarship (2022),Total Institutional Aid 2022 (Calculation),Average Net Price (2021),"Average Net Price (Income $0-$30,000) 	 
","Average Net Price (Income $30,001-$48,000) 	 
","Average Net Price (Income $48,001-$75,000) 	 ","Average Net Price (income $75,001-$110,000) 	 ","Average Net Price (Income over $110,000) 	","Percent of UG Awarded Aid      

",Percent of First-Years Receiving Institutional Aid,Average Amount of Institutional Aid Awarded to First-Years,Public or Private,Retention Rate (2021),Four-year Graduation Rate,Six-year Graduation Rate,Admitted students,Enrolled students
Stetson University,FL,https://www.stetson.edu/,Buyer ,28%,8%,92%,"9,260","$68,580,396","$26,771,008","$95,351,404","$21,240","$18,638","$20,295","$21,722","$22,682","$24,082",98,99,"$34,417",Private,72,57%,64%,"8,486",637
Stockton University,NJ,https://www.stockton.edu/,,27%,26%,85%,"6,247","$37,881,239","$14,010,824","$51,892,063","$19,581","$12,550","$13,547","$19,236","$23,773","$25,192",67,89,"$4,160",Public,78,58%,74%,"5,281","1,358"
Stony Brook University,NY,https://www.stonybrook.edu/,,16%,18%,48%,"38,826","$81,146,189","$15,645,576","$96,791,765","$16,445","$11,463","$13,461","$19,219","$21,357","$23,904",62,67,"$3,944",Public,89,63%,76%,"18,659","3,416"
Suffolk University,MA,https://www.suffolk.edu/,Seller,21%,15%,88%,"7,501","$70,112,759","$18,504,503","$88,617,262","$32,393","$22,545","$23,498","$25,995","$27,657","$33,158",92,97,"$23,008",Private,78,45%,59%,"6,603",982
SUNY at Albany,NY,www.albany.edu/,,14%,21%,68%,"21,265","$67,672,115","$10,975,689","$78,647,804","$17,350","$12,247","$15,398","$19,240","$20,767","$23,694",68,79,"$4,389",Public,82,58%,65%,"14,458","3,030"
SUNY at Fredonia,NY,https://www.fredonia.edu/,,2%,19%,91%,"4,668","$21,608,127","$351,674","$21,959,801","$15,973","$10,857","$12,874","$17,231","$17,622","$20,243",87,93,"$3,070",Public,73,49%,62%,"4,236",806
SUNY at Purchase College,NY,www.purchase.edu/,,8%,22%,75%,"4,047","$15,709,638","$1,338,358","$17,047,996","$19,458","$14,327","$17,735","$21,855","$23,602","$25,890",71,75,"$2,970",Public,79,53%,61%,"3,052",680
SUNY Brockport,NY,https://www.brockport.edu/,,32%,17%,76%,"7,800","$19,433,068","$9,071,575","$28,504,643","$15,384","$10,810","$13,325","$17,562","$18,882","$21,067",66,64,"$1,999",Public,69,50%,66%,"5,963","1,002"
SUNY Buffalo State,NY,https://suny.buffalostate.edu/,,10%,13%,85%,"12,057","$46,673,349","$5,125,816","$51,799,165","$9,998","$6,899","$9,318","$13,682","$14,979","$17,118",81,86,"$1,953",Public,48,26%,40%,"10,193","1,344"
SUNY College at Geneseo,NY,https://www.geneseo.edu/,,41%,15%,74%,"9,103","$11,635,021","$7,928,014","$19,563,035","$20,594","$11,884","$14,859","$18,373","$18,720","$24,458",77,65,"$2,594",Public,83,69%,79%,"6,723","1,007"
SUNY College at Oswego,NY,https://www.oswego.edu/,,47%,14%,80%,"10,357","$24,163,347","$21,369,222","$45,532,569","$15,078","$8,660","$11,684","$16,446","$17,452","$21,259",83,91,"$3,210",Public,75,52%,65%,"8,249","1,168"
SUNY College at Plattsburgh,NY,https://www.plattsburgh.edu/,,15%,20%,68%,"6,733","$20,647,649","$3,607,764","$24,255,413","$15,421","$10,054","$12,792","$17,365","$18,601","$22,152",75,82,"$4,511",Public,72,48%,67%,"4,576",920
SUNY College of Technology at Alfred,NY,www.alfredstate.edu/,,27%,27%,82%,"4,719","$16,527,028","$6,086,233","$22,613,261","$17,401","$13,071","$15,527","$18,422","$19,857","$22,045",84,81,"$2,858",Public,72,51%,66%,"3,874","1,040"
SUNY Cortland,NY,www2.cortland.edu/,,27%,18%,60%,"11,420","$13,437,965","$4,866,653","$18,304,618","$17,703","$11,507","$14,596","$19,240","$19,794","$23,277",64,59,"$2,164",Public,80,52%,67%,"6,909","1,221"
SUNY Oneonta,NY,https://suny.oneonta.edu/,,12%,14%,70%,"9,940","$27,569,217","$3,885,109","$31,454,326","$17,594","$11,625","$14,515","$19,074","$20,748","$24,691",66,66,"$2,600",Public,76,69%,76%,"6,919",943
Susquehanna University,PA,www.susqu.edu/,Buyer,26%,13%,77%,"5,384","$56,217,668","$19,652,245","$75,869,913","$28,130","$19,455","$22,983","$24,568","$28,058","$30,437",99,96,"$36,215",Private,87,72%,75%,"4,126",555
Swarthmore College,PA,www.swarthmore.edu/,Seller,5%,45%,8%,"13,012","$47,753,485","$2,432,554","$50,186,039","$19,733","$10,638","$11,885","$11,560","$20,167","$46,875",74,54,"$51,790",Private,95,91%,97%,"1,013",454
Syracuse University,NY,https://www.syracuse.edu/,Buyer,24%,16%,59%,"39,682","$244,353,997","$75,790,284","$320,144,281","$43,545","$17,000","$18,339","$21,415","$27,817","$46,942",80,86,"$29,412",Private,90,71%,83%,"23,489","3,765"
Tarleton State University,TX,www.tarleton.edu/,,0%,36%,57%,"10,657","$54,690,426","$12,759","$54,703,185","$13,752","$15,213","$16,577","$19,895","$21,654","$21,820",72,55,"$3,092",Public,70,30%,46%,"6,054","2,150"
Temple University,PA,www.temple.edu/,,19%,18%,72%,"37,571","$162,190,370","$36,819,382","$199,009,752","$23,224","$17,212","$17,613","$22,225","$24,917","$28,199",77,78,"$8,377",Public,86,55%,75%,"27,176","4,922"
Texas A & M International University,TX,www.tamiu.edu/,,17%,40%,54%,"5,263","$37,891,262","$7,716,679","$45,607,941","$5,155","$3,927","$3,727","$4,668","$8,808","$11,620",85,58,"$3,887",Public,74,24%,46%,"2,862","1,139"
Texas A & M University-College Station,TX,https://www.tamu.edu/,,21%,44%,64%,"43,763","$205,116,616","$55,904,095","$261,020,711","$22,253","$12,460","$14,642","$19,741","$27,330","$29,384",65,55,"$7,398",Public,93,56%,83%,"28,132","12,323"
Texas A & M University-Commerce,TX,www.tamuc.edu/,,9%,20%,87%,"5,203","$31,312,409","$3,077,197","$34,389,606","$13,639","$11,793","$11,825","$13,858","$19,965","$20,138",80,57,"$4,990",Public,60,28%,43%,"4,509",921
Texas A & M University-Corpus Christi,TX,https://www.tamucc.edu/,,17%,27%,91%,"7,222","$37,385,939","$7,774,577","$45,160,516","$14,349","$16,973","$17,688","$20,076","$20,815",,61,9,"$2,333",Public,55,18%,37%,"6,592","1,790"
Texas A & M University-Kingsville,TX,https://www.tamuk.edu/,,7%,20%,93%,"4,936","$25,096,281","$1,949,841","$27,046,122","$12,028","$9,223","$10,611","$11,982","$16,732","$18,964",68,68,"$3,765",Public,66,23%,45%,"4,584",936
Texas Christian University,TX,https://www.tcu.edu/,Buyer,43%,24%,54%,"19,782","$118,898,851","$88,309,829","$207,208,680","$42,574","$29,390","$27,804","$29,681","$35,198","$49,769",75,81,"$27,173",Private,91,70%,82%,"10,606","2,560"
Texas State University,TX,https://www.txst.edu/,,15%,31%,70%,"31,073","$128,100,534","$22,584,817","$150,685,351","$16,385","$12,920","$13,352","$15,869","$21,667","$23,423",54,34,"$2,766",Public,77,31%,55%,"21,748","6,650"
Texas Tech University,TX,www.ttu.edu/,,24%,29%,68%,"33,756","$111,766,654","$36,151,499","$147,918,153","$17,057","$10,499","$12,128","$15,543","$20,667","$22,894",73,74,"$5,495",Public,85,37%,63%,"22,908","6,629"
Texas Woman's University,TX,www.twu.edu/,,18%,25%,96%,"5,355","$33,367,235","$7,092,314","$40,459,549","$11,627","$9,817","$10,126","$11,383","$15,630","$17,535",66,59,"$3,849",Public,72,26%,48%,"5,125","1,287"
The College of New Jersey,NJ,https://www.tcnj.edu/,,18%,23%,62%,"10,393","$28,861,209","$6,419,767","$35,280,976","$13,269","$4,889","$5,972","$13,221","$21,456","$22,967",43,40,"$6,213",Public,92,75%,86%,"6,442","1,476"
The College of Wooster,OH,https://www.wooster.edu/,Buyer ,26%,15%,61%,"6,611","$53,833,443","$19,018,724","$72,852,167","$24,934","$13,382","$13,744","$17,792","$24,202","$30,187",96,100,"$39,700",Private,80,70%,74%,"4,008",583
The New School,NY,https://www.newschool.edu/,Buyer ,70%,30%,66%,"9,696","$9,556,813","$22,084,657","$31,641,470","$43,547","$27,143","$37,137","$39,186","$40,923","$39,453",98,99,"$18,746",Private,83,56%,69%,"6,428","1,902"
The University of Alabama,AL,www.ua.edu/,,62%,23%,79%,"42,421","$114,054,523","$186,490,359","$300,544,882","$21,263","$18,338","$20,121","$21,957","$23,830","$24,948",65,71,"$15,703",Public,89,52%,72%,"33,472","7,593"
The University of Tampa,FL,https://www.ut.edu/,Buyer,15%,18%,54%,"32,904","$81,003,220","$14,366,472","$95,369,692","$34,720","$29,665","$31,209","$33,041","$33,021","$36,583",95,91,"$12,030",Private,83,50%,60%,"17,620","3,102"
The University of Tennessee-Chattanooga,TN,utc.edu/,,28%,32%,86%,"7,607","$44,528,983","$17,743,753","$62,272,736","$13,552","$8,914","$10,058","$14,294","$16,182","$16,862",81,72,"$4,154",Public,73,32%,50%,"6,518","2,074"
The University of Tennessee-Martin,TN,https://www.utm.edu/,,49%,16%,75%,"8,705","$17,054,232","$16,381,843","$33,436,075","$11,646","$7,909","$9,537","$13,278","$15,345","$15,796",91,81,"$3,457",Public,70,35%,54%,"6,539","1,042"
The University of Texas at Arlington,TX,https://www.uta.edu/,,3%,32%,93%,"15,498","$144,588,320","$4,176,321","$148,764,641","$15,301","$13,217","$14,011","$15,440","$20,232","$21,260",62,66,"$5,658",Public,71,28%,52%,"14,367","4,579"
The University of Texas at Austin,TX,https://www.utexas.edu/,,11%,48%,29%,"66,077","$200,379,141","$24,419,240","$224,798,381","$16,589","$11,559","$13,365","$16,738","$24,528","$27,650",52,44,"$5,448",Public,96,70%,88%,"18,994","9,060"
The University of Texas at Dallas,TX,www.utdallas.edu/,,11%,25%,87%,"18,838","$130,945,294","$17,008,968","$147,954,262","$12,924","$11,986","$11,683","$15,388","$21,899","$24,487",68,61,"$9,169",Public,88,52%,69%,"16,429","4,042"
The University of Texas at El Paso,TX,www.utep.edu/,,5%,30%,100%,"10,153","$98,926,298","$5,495,067","$104,421,365","$10,538","$9,158","$10,106","$13,024","$16,100","$17,651",78,50,"$1,857",Public,70,18%,44%,"10,151","3,076"
The University of Texas at San Antonio,TX,www.utsa.edu/,,5%,28%,90%,"21,726","$123,928,022","$7,083,799","$131,011,821","$11,013","$7,274","$7,876","$10,949","$15,789","$17,863",77,68,"$2,466",Public,78,25%,46%,"19,662","5,512"
The University of Texas at Tyler,TX,https://www.uttyler.edu/,,6%,35%,94%,"3,577","$28,247,054","$1,793,194","$30,040,248","$11,186","$6,701","$8,164","$11,962","$17,991","$18,866",59,56,"$4,755",Public,62,28%,43%,"3,358","1,169"
The University of Texas Rio Grande Valley,TX,www.utrgv.edu/,,3%,40%,94%,"14,386","$158,023,115","$4,084,081","$162,107,196","$6,244","$4,055","$5,068","$7,248","$11,013","$12,967",85,71,"$2,116",Public,72,24%,47%,"13,508","5,439"
The University of the South,TN,www.sewanee.edu/,Buyer,39%,19%,60%,"4,162","$30,601,454","$19,945,147","$50,546,601","$29,626","$10,474","$12,758","$16,685","$20,066","$37,849",95,95,"$32,845",Private,90,76%,80%,"2,508",474
The University of West Florida,FL,uwf.edu/,,19%,25%,53%,"8,660","$31,563,745","$7,639,732","$39,203,477","$10,344","$4,618","$6,805","$9,364","$14,579","$13,276",84,73,"$4,154",Public,84,31%,48%,"4,573","1,159"
Towson University,MD,www.towson.edu/,,19%,25%,88%,"11,616","$67,845,833","$15,957,306","$83,803,139","$11,076","$4,493","$7,917","$12,211","$16,971","$18,491",65,50,"$5,236",Public,85,48%,73%,"10,213","2,592"
Trinity College,CT,https://www.trincoll.edu/,Seller,9%,25%,38%,"5,603","$57,447,618","$5,933,116","$63,380,734","$29,789","$8,252","$10,965","$14,246","$20,094","$43,317",58,66,"$45,226",Private,91,78%,82%,"2,115",523
Trinity University,TX,https://new.trinity.edu/,Buyer,47%,20%,34%,"9,626","$39,342,487","$35,239,083","$74,581,570","$27,711","$7,385","$8,925","$12,004","$21,747","$34,057",97,99,"$32,034",Private,92,67%,79%,"3,246",663
Troy University,AL,www.troy.edu/,,50%,25%,95%,"6,766","$24,073,866","$24,555,592","$48,629,458","$12,486","$12,287","$12,921","$14,999","$16,223","$14,597",72,59,"$8,336",Public,74,27%,50%,"6,446","1,596"
Tufts University,MA,https://www.tufts.edu/,Seller,2%,50%,11%,"31,198","$124,779,764","$2,306,547","$127,086,311","$31,630","$8,299","$8,970","$15,050","$26,122","$55,841",41,38,"$45,569",Private,97,89%,94%,"3,566","1,800"
Tulane University of Louisiana,LA,https://tulane.edu/,Buyer,45%,46%,10%,"45,525","$87,569,154","$72,835,240","$160,404,394","$45,048","$23,669","$24,422","$25,703","$34,313","$52,688",74,64,"$30,632",Private,94,77%,86%,"4,385","2,027"
Tuskegee University,AL,www.tuskegee.edu/,Buyer,61%,19%,34%,"8,597","$8,915,317","$13,955,819","$22,871,136","$36,907","$34,953","$30,571","$36,785","$38,162","$38,742",20,80,"$2,640",Private,80,28%,52%,"2,940",551
Union College,NY,www.union.edu/,Mild Buyer,17%,16%,47%,"7,470","$53,370,855","$10,894,632","$64,265,487","$39,101","$10,627","$17,999","$20,694","$27,433","$44,853",85,87,"$35,088",Private,91,80%,86%,"3,513",565
University at Buffalo,NY,www.buffalo.edu/,,5%,20%,70%,"30,750","$101,662,082","$5,716,810","$107,378,892","$17,954","$15,006","$18,436","$20,447","$20,515","$23,632",58,65,"$3,417",Public,83,61%,75%,"21,552","4,309"
University of Akron Main Campus,OH,www.uakron.edu/,,100%,22%,85%,"11,332","$37,300","$42,205,115","$42,242,415","$17,443","$19,490","$20,198","$22,975","$24,697","$24,958",69,83,"$5,595",Public,69,4%,53%,"9,623","2,163"
University of Alabama at Birmingham,AL,https://www.uab.edu/,,99%,23%,89%,"11,906","$284,834","$51,483,095","$51,767,929","$16,990","$13,862","$15,370","$16,847","$18,230","$20,054",71,86,"$9,520",Public,84,38%,61%,"10,541","2,415"
University of Alabama in Huntsville,AL,www.uah.edu/,,54%,28%,74%,"5,781","$23,025,417","$27,401,641","$50,427,058","$17,302","$14,654","$14,646","$18,572","$19,206","$19,423",76,88,"$9,643",Public,79,31%,57%,"4,259","1,204"
University of Alaska Anchorage,AK,www.uaa.alaska.edu/,,22%,42%,69%,"3,431","$21,852,199","$6,147,663","$27,999,862","$12,816","$9,450","$10,832","$13,311","$15,855","$16,132",45,38,"$3,943",Public,69,13%,31%,"2,369",990
University of Arizona,AZ,https://www.arizona.edu/,,40%,20%,87%,"48,065","$195,755,661","$130,633,906","$326,389,567","$17,242","$11,237","$14,027","$16,773","$20,338","$21,455",76,91,"$12,459",Public,84,49%,65%,"41,946","8,436"
University of Arkansas,AR,https://www.uark.edu/,,48%,34%,83%,"21,462","$51,109,185","$46,528,720","$97,637,905","$15,218","$10,914","$11,538","$14,417","$18,076","$18,978",69,52,"$5,899",Public,87,50%,68%,"17,743","6,065"
University of California-Berkeley,CA,www.berkeley.edu/,,7%,43%,14%,"112,843","$332,811,595","$26,281,494","$359,093,089","$17,652","$9,594","$10,880","$14,407","$21,217","$33,136",57,45,"$11,168",Public,96,76%,92%,"16,295","6,931"
University of California-Irvine,CA,www.uci.edu/,,3%,21%,29%,"107,950","$348,586,093","$12,483,775","$361,069,868","$11,633","$5,924","$7,006","$10,078","$16,780","$25,567",72,60,"$7,401",Public,93,69%,85%,"31,110","6,489"
University of California-Los Angeles,CA,www.ucla.edu/,,4%,44%,11%,"139,489","$302,078,458","$13,822,551","$315,901,009","$13,393","$6,772","$7,882","$10,217","$16,341","$25,628",56,24,"$10,828",Public,97,81%,91%,"15,028","6,584"
University of California-Merced,CA,ucmerced.edu/,,1%,10%,87%,"27,793","$162,958,614","$1,707,940","$164,666,554","$11,586","$8,370","$9,274","$11,997","$15,853","$26,004",91,60,"$11,000",Public,79,45%,69%,"24,068","2,410"
University of California-Riverside,CA,www.ucr.edu/,,2%,15%,65%,"52,672","$300,796,495","$4,946,579","$305,743,074","$13,502","$8,849","$10,344","$13,190","$18,844","$27,184",78,57,"$7,109",Public,88,62%,77%,"34,437","5,203"
University of California-Santa Barbara,CA,www.ucsb.edu/,,4%,16%,29%,"105,641","$236,632,708","$9,172,227","$245,804,935","$17,333","$11,022","$12,305","$14,720","$20,565","$30,833",62,42,"$7,687",Public,91,69%,84%,"30,824","4,900"
University of California-Santa Cruz,CA,www.ucsc.edu/,,6%,12%,59%,"61,695","$209,160,560","$13,510,956","$222,671,516","$19,615","$13,340","$14,379","$17,375","$23,778","$33,865",62,48,"$8,248",Public,89,55%,76%,"36,177","4,187"
University of Central Florida,FL,www.ucf.edu/,,50%,40%,36%,"48,929","$159,036,595","$161,558,328","$320,594,923","$11,575","$5,517","$7,073","$10,032","$14,265","$15,761",72,56,"$2,404",Public,92,46%,74%,"17,797","7,090"
University of Central Missouri,MO,https://www.ucmo.edu/,,32%,30%,76%,"5,103","$19,412,485","$9,187,898","$28,600,383","$13,852","$11,219","$11,518","$13,552","$16,393","$16,822",92,86,"$3,695",Public,71,31%,51%,"3,867","1,158"
University of Chicago,IL,www.uchicago.edu/,Seller,17%,83%,6%,"37,974","$148,821,541","$30,311,312","$179,132,853","$33,727","$2,993","$3,316","$7,432","$13,648","$41,816",54,52,"$45,686",Private,99,91%,96%,"2,460","2,053"
University of Cincinnati-Main Campus,OH,www.uc.edu/,,40%,25%,85%,"25,775","$57,001,815","$37,792,967","$94,794,782","$20,827","$14,344","$16,397","$19,980","$24,209","$25,019",61,65,"$5,380",Public,87,37%,72%,"21,865","5,400"
University of Colorado Boulder,CO,www.colorado.edu/,,35%,16%,80%,"54,756","$93,296,247","$49,513,059","$142,809,306","$22,532","$13,807","$15,194","$18,334","$25,611","$29,352",55,52,"$7,310",Public,87,50%,72%,"43,576","6,785"
University of Colorado Colorado Springs,CO,https://www.uccs.edu/,,28%,12%,95%,"11,900","$31,158,913","$12,243,788","$43,402,701","$15,547","$11,128","$10,541","$13,872","$18,515","$20,336",61,59,"$3,604",Public,67,25%,45%,"11,337","1,409"
University of Colorado Denver/Anschutz Medical Campus,CO,www.ucdenver.edu/,,9%,16%,72%,"14,428","$43,333,741","$4,214,442","$47,548,183","$14,630","$8,376","$9,701","$14,032","$20,018","$22,082",49,73,"$3,304",Public,75,21%,44%,"10,395","1,688"
University of Connecticut,CT,uconn.edu/,,36%,18%,56%,"36,753","$77,647,267","$44,189,575","$121,836,842","$22,168","$13,586","$15,226","$20,925","$26,188","$29,840",70,73,"$13,786",Public,92,73%,83%,"20,433","3,663"
University of Dayton,OH,https://udayton.edu/,Buyer ,33%,15%,81%,"17,262","$161,071,596","$77,929,538","$239,001,134","$29,933","$18,843","$20,310","$22,973","$26,766","$33,132",94,95,"$30,803",Private,88,63%,81%,"13,919","2,126"
University of Delaware,DE,www.udel.edu/,,42%,19%,72%,"34,111","$60,231,005","$44,270,850","$104,501,855","$19,122","$13,485","$14,319","$16,896","$20,537","$23,192",67,71,"$12,231",Public,91,73%,84%,"24,679","4,617"
University of Denver,CO,www.du.edu/,Buyer ,41%,11%,64%,"22,694","$86,749,079","$60,825,418","$147,574,497","$39,973","$20,488","$19,490","$25,017","$27,569","$43,170",88,98,"$30,071",Private,84,67%,75%,"14,440","1,621"
University of Florida,FL,https://www.ufl.edu/,,68%,44%,30%,"51,207","$87,394,349","$184,803,762","$272,198,111","$9,809",-$208,"$1,385","$5,590","$11,831","$13,836",84,39,"$5,593",Public,97,67%,89%,"15,431","6,787"
University of Georgia,GA,www.uga.edu/,,56%,37%,40%,"39,229","$105,994,086","$133,393,708","$239,387,794","$16,902","$9,820","$11,557","$15,844","$17,985","$18,218",89,21,"$6,496",Public,95,67%,86%,"15,685","5,819"
University of Hartford,CT,www.hartford.edu/,Buyer,22%,9%,79%,"13,459","$71,514,354","$20,306,810","$91,821,164","$29,987","$25,636","$25,287","$27,772","$31,113","$33,862",89,98,"$27,073",Private,77,46%,57%,"10,605",977
University of Hawaii at Manoa,HI,https://manoa.hawaii.edu/,,28%,21%,70%,"19,607","$46,352,175","$17,684,449","$64,036,624","$14,825","$8,854","$9,984","$14,102","$16,509","$20,692",60,64,"$5,711",Public,80,35%,62%,"13,721","2,939"
University of Houston,TX,www.uh.edu/,,9%,28%,66%,"29,721","$163,453,100","$15,442,413","$178,895,513","$14,339","$11,449","$11,306","$12,937","$18,371","$21,657",69,68,"$4,742",Public,85,36%,62%,"19,474","5,437"
University of Houston-Downtown,TX,www.uhd.edu/,,8%,23%,95%,"6,148","$47,762,000","$4,231,755","$51,993,755","$13,460","$12,285","$12,640","$13,533","$19,625","$20,494",82,37,"$2,007",Public,64,9%,30%,"5,831","1,360"
University of Idaho,ID,www.uidaho.edu/,,43%,21%,81%,"9,814","$19,158,204","$14,332,372","$33,490,576","$15,435","$9,185","$8,744","$11,106","$16,568","$17,136",84,94,"$8,308",Public,75,37%,59%,"7,987","1,656"
University of Illinois Urbana-Champaign,IL,www.illinois.edu/,,9%,29%,60%,"47,593","$219,735,132","$22,369,877","$242,105,009","$14,272","$5,651","$8,821","$11,677","$22,555","$28,311",65,80,"$6,633",Public,93,72%,86%,"28,395","8,297"
University of Iowa,IA,www.uiowa.edu/,,36%,23%,86%,"22,434","$74,796,828","$42,655,877","$117,452,705","$17,599","$13,772","$14,089","$18,317","$20,690","$22,754",65,64,"$10,037",Public,88,54%,72%,"19,340","4,521"
University of Kansas,KS,https://ku.edu/,,43%,29%,92%,"15,275","$55,904,124","$42,439,395","$98,343,519","$18,608","$13,970","$15,183","$17,163","$20,432","$22,976",70,71,"$9,784",Public,85,46%,63%,"14,129","4,119"
University of La Verne,CA,https://www.laverne.edu/,Seller,55%,19%,72%,"5,004","$34,916,946","$42,695,061","$77,612,007","$22,538","$21,532","$23,718","$35,528",,"$46,612",82,95,"$28,812",Private,80,53%,66%,"3,600",680
University of Louisiana at Lafayette,LA,www.louisiana.edu/,,69%,33%,78%,"10,409","$26,411,512","$58,516,605","$84,928,117","$11,818","$9,954","$11,368","$13,399","$15,703","$16,268",83,58,"$5,154",Public,75,22%,51%,"8,155","2,693"
University of Louisiana at Monroe,LA,www.ulm.edu/,,28%,33%,70%,"4,945","$27,755,447","$11,056,901","$38,812,348","$10,408","$8,892","$9,591","$12,117","$14,703","$13,806",73,81,"$5,815",Public,69,36%,56%,"3,456","1,140"
University of Louisville,KY,www.louisville.edu/,,34%,23%,75%,"15,455","$69,652,929","$36,269,210","$105,922,139","$18,582","$14,436","$15,466","$17,544","$21,377","$22,740",87,75,"$9,083",Public,77,37%,60%,"11,544","2,695"
University of Maine,ME,www.umaine.edu/,,35%,16%,96%,"14,965","$50,597,358","$27,748,817","$78,346,175","$17,146","$13,310","$13,755","$15,580","$19,934","$20,828",87,98,"$8,861",Public,76,38%,55%,"14,435","2,317"
University of Mary Hardin-Baylor,TX,https://go.umhb.edu/,Mild Buyer,14%,6%,99%,"14,587","$35,287,019","$5,703,091","$40,990,110","$30,191","$27,949","$27,725","$27,819","$30,428","$33,727",93,99,"$10,339",Private,62,36%,51%,"14,491",861
University of Maryland-Baltimore County,MD,umbc.edu/,,28%,23%,81%,"11,093","$39,903,384","$15,427,385","$55,330,769","$6,912",$324,"$4,771","$10,298","$14,505","$15,319",65,60,"$6,387",Public,87,44%,69%,"9,007","2,052"
University of Maryland-College Park,MD,www.umd.edu/,,29%,23%,52%,"50,183","$91,434,973","$38,066,669","$129,501,642","$17,146","$6,739","$10,357","$17,280","$22,100","$25,664",53,43,"$8,127",Public,95,70%,87%,"26,109","6,072"
University of Massachusetts-Amherst,MA,www.umass.edu/,,28%,17%,66%,"42,540","$119,508,487","$47,159,147","$166,667,634","$17,291","$6,061","$7,647","$11,340","$17,540","$24,211",80,79,"$9,187",Public,91,76%,83%,"27,877","4,872"
University of Massachusetts-Boston,MA,www.umb.edu/,,10%,17%,79%,"16,383","$78,090,921","$8,276,237","$86,367,158","$17,575","$14,086","$14,335","$17,600","$22,714","$24,730",79,85,"$7,207",Public,75,25%,49%,"12,926","2,246"
University of Massachusetts-Dartmouth,MA,www.umassd.edu/,,16%,17%,92%,"7,983","$32,412,205","$6,344,532","$38,756,737","$21,708","$16,996","$19,414","$21,238","$23,516","$24,690",86,92,"$4,768",Public,68,34%,52%,"7,362","1,265"
University of Massachusetts-Lowell,MA,www.uml.edu/,,18%,18%,85%,"12,493","$51,152,665","$11,176,342","$62,329,007","$13,227","$7,628","$9,067","$12,230","$17,000","$19,868",63,76,"$6,714",Public,82,44%,69%,"10,565","1,907"
University of Memphis,TN,https://www.memphis.edu/,,46%,18%,95%,"14,916","$56,202,244","$47,145,439","$103,347,683","$14,251","$11,640","$12,495","$15,155","$18,894","$18,714",83,76,"$3,935",Public,72,28%,52%,"14,201","2,593"
University of Miami,FL,www.miami.edu/,Buyer,44%,23%,28%,"42,245","$146,973,393","$115,353,514","$262,326,907","$34,492","$19,275","$14,160","$19,088","$24,886","$42,497",64,63,"$32,726",Private,93,72%,83%,"12,037","2,766"
University of Michigan-Ann Arbor,MI,https://umich.edu/,,31%,45%,20%,"79,743","$228,292,408","$103,348,153","$331,640,561","$19,205","$4,692","$6,904","$12,432","$18,938","$27,199",60,52,"$15,721",Public,97,81%,93%,"16,071","7,290"
University of Michigan-Dearborn,MI,https://umdearborn.edu/,,20%,20%,69%,"8,065","$33,736,016","$8,386,704","$42,122,720","$11,818","$7,786","$8,608","$10,552","$16,251","$18,773",89,84,"$7,855",Public,84,18%,55%,"5,546","1,084"
University of Minnesota-Duluth,MN,https://www.d.umn.edu/,,9%,27%,80%,"9,610","$34,205,551","$3,383,191","$37,588,742","$16,960","$6,283","$8,677","$12,300","$17,817","$23,346",61,70,"$3,805",Public,77,43%,61%,"7,644","2,029"
University of Minnesota-Twin Cities,MN,https://twin-cities.umn.edu/,,14%,26%,73%,"35,905","$157,104,987","$24,733,946","$181,838,933","$17,468","$6,720","$8,356","$11,603","$18,140","$24,979",53,63,"$6,404",Public,92,71%,84%,"26,295","6,883"
University of Missouri-Columbia,MO,https://missouri.edu/,,33%,32%,77%,"19,966","$111,612,503","$55,088,318","$166,700,821","$18,249","$13,482","$12,992","$14,056","$19,568","$23,533",74,82,"$8,976",Public,88,50%,73%,"15,283","4,843"
University of Missouri-Kansas City,MO,https://www.umkc.edu/,,20%,30%,76%,"4,967","$30,158,214","$7,706,064","$37,864,278","$14,368","$10,460","$10,985","$12,002","$17,071","$19,281",49,75,"$5,726",Public,72,27%,51%,"3,774","1,148"
University of Nebraska at Kearney,NE,www.unk.edu/,,23%,17%,90%,"6,076","$21,924,292","$6,462,434","$28,386,726","$16,433","$14,039","$14,058","$15,894","$18,174","$20,759",85,74,"$5,219",Public,76,33%,58%,"5,488",958
University of Nebraska-Lincoln,NE,www.unl.edu/,,39%,33%,81%,"17,775","$84,888,715","$53,433,704","$138,322,419","$18,403","$12,172","$13,585","$15,526","$19,044","$21,706",78,93,"$6,849",Public,80,42%,67%,"14,411","4,736"
University of Nevada-Las Vegas,NV,www.unlv.edu/,,10%,38%,83%,"13,025","$115,362,472","$12,122,530","$127,485,002","$13,030","$11,727","$11,555","$12,947","$16,327","$17,292",77,45,"$3,724",Public,77,17%,44%,"10,873","4,125"
University of Nevada-Reno,NV,www.unr.edu/,,23%,41%,88%,"9,421","$56,465,847","$17,282,296","$73,748,143","$16,398","$11,887","$12,553","$15,105","$18,703","$19,914",76,61,"$3,478",Public,78,39%,60%,"8,306","3,412"
